OrderID,OrderDate,Region,Country,State,City,ProductCategory,ProductName,Sales,Quantity,Profit,CustomerType
1001,2024-01-05,Asia,India,Maharashtra,Pune,Electronics,Laptop,75000,1,12000,Corporate
1002,2024-01-08,Asia,India,Karnataka,Bangalore,Electronics,Smartphone,45000,2,9000,Consumer
1003,2024-01-12,Asia,India,Delhi,New Delhi,Furniture,Office Chair,15000,3,4000,Corporate
1004,2024-01-15,Asia,India,Tamil Nadu,Chennai,Electronics,Tablet,28000,2,6000,Consumer
1005,2024-01-18,Asia,India,Maharashtra,Mumbai,Clothing,T-Shirt,3000,5,800,Consumer
1006,2024-02-02,Asia,India,Karnataka,Mysore,Furniture,Desk,22000,1,5000,Corporate
1007,2024-02-05,Asia,India,Delhi,New Delhi,Electronics,Monitor,18000,2,4500,Corporate
1008,2024-02-10,Asia,India,Tamil Nadu,Coimbatore,Clothing,Jeans,8000,4,2000,Consumer
1009,2024-02-14,Asia,India,Maharashtra,Nagpur,Electronics,Headphones,6000,3,1500,Consumer
1010,2024-02-20,Asia,India,Karnataka,Bangalore,Furniture,Bookshelf,17000,2,3500,Corporate
1011,2024-03-03,Asia,India,Delhi,Gurgaon,Electronics,Laptop,82000,1,15000,Corporate
1012,2024-03-07,Asia,India,Tamil Nadu,Chennai,Clothing,Jacket,12000,2,2800,Consumer
1013,2024-03-10,Asia,India,Maharashtra,Pune,Electronics,Smartwatch,20000,2,4000,Consumer
1014,2024-03-15,Asia,India,Karnataka,Bangalore,Furniture,Office Table,35000,1,8000,Corporate
1015,2024-03-18,Asia,India,Delhi,Noida,Electronics,Camera,50000,1,10000,Consumer
